Parameter Name,Theoretical Relationship with Redshift,Relationship Explanation,Notes,Units,Known Redshift Dependence,Type of Parameter
pflx_plaw_ergflux_error,Inverse square law with scatter,"Flux/fluence errors scale with the primary measurement, following inverse square dimming",Error propagation follows same cosmological dimming as primary parameter,Same as primary flux/fluence parameter,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational Error
pflx_plaw_index,Model-dependent evolution,"Spectral indices may evolve with redshift depending on spectral model (power-law, broken power-law, etc.)",Evolution depends on specific spectral model and parameter,dimensionless,Model-dependent,Spectral
pflx_plaw_index_neg_err,Model-dependent evolution,"Spectral indices may evolve with redshift depending on spectral model (power-law, broken power-law, etc.)",Evolution depends on specific spectral model and parameter,dimensionless,Model-dependent,Spectral
pflx_plaw_index_pos_err,Model-dependent evolution,"Spectral indices may evolve with redshift depending on spectral model (power-law, broken power-law, etc.)",Evolution depends on specific spectral model and parameter,dimensionless,Model-dependent,Spectral
pflx_plaw_phtflnc,Cosmological scaling,Photon fluxes/fluences subject to (1+z)^-2 dimming and k-correction effects,Photon count rates affected by cosmological distance and spectral shifting,ph cm^-2 or ph cm^-2 s^-1,(1+z)^-2 plus k-corrections,Photon Count
pflx_plaw_phtflnc_error,Correlated with primary parameter,Photon flux/fluence errors follow same cosmological scaling as primary measurements,Error propagation of cosmological effects on photon counts,ph cm^-2 or ph cm^-2 s^-1,(1+z)^-2 plus k-corrections,Photon Count Error
pflx_plaw_phtflncb,Cosmological scaling,Photon fluxes/fluences subject to (1+z)^-2 dimming and k-correction effects,Photon count rates affected by cosmological distance and spectral shifting,ph cm^-2 or ph cm^-2 s^-1,(1+z)^-2 plus k-corrections,Photon Count
pflx_plaw_phtflncb_error,Correlated with primary parameter,Photon flux/fluence errors follow same cosmological scaling as primary measurements,Error propagation of cosmological effects on photon counts,ph cm^-2 or ph cm^-2 s^-1,(1+z)^-2 plus k-corrections,Photon Count Error
pflx_plaw_phtflux,Inverse square law with scatter,"Follows cosmological dimming: flux ? 1/(1+z)^2, with additional k-correction factor. Large intrinsic scatter observed",Research shows weak correlation due to large intrinsic scatter in GRB luminosities,erg cm^-2 s^-1 or ph cm^-2 s^-1,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational
pflx_plaw_phtflux_error,Inverse square law with scatter,"Flux/fluence errors scale with the primary measurement, following inverse square dimming",Error propagation follows same cosmological dimming as primary parameter,Same as primary flux/fluence parameter,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational Error
pflx_plaw_phtfluxb,Inverse square law with scatter,"Follows cosmological dimming: flux ? 1/(1+z)^2, with additional k-correction factor. Large intrinsic scatter observed",Research shows weak correlation due to large intrinsic scatter in GRB luminosities,erg cm^-2 s^-1 or ph cm^-2 s^-1,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational
pflx_plaw_phtfluxb_error,Inverse square law with scatter,"Flux/fluence errors scale with the primary measurement, following inverse square dimming",Error propagation follows same cosmological dimming as primary parameter,Same as primary flux/fluence parameter,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational Error
pflx_plaw_pivot,Inverse redshift relationship,"Pivot energy subject to k-correction like other energy parameters: E_pivot,obs = E_pivot,rest/(1+z)","Reference energy used in spectral fitting, k-corrected",keV,(1+z)^-1 k-correction,Spectral
pflx_plaw_pivot_neg_err,Inverse redshift relationship,"Pivot energy subject to k-correction like other energy parameters: E_pivot,obs = E_pivot,rest/(1+z)","Reference energy used in spectral fitting, k-corrected",keV,(1+z)^-1 k-correction,Spectral
pflx_plaw_pivot_pos_err,Inverse redshift relationship,"Pivot energy subject to k-correction like other energy parameters: E_pivot,obs = E_pivot,rest/(1+z)","Reference energy used in spectral fitting, k-corrected",keV,(1+z)^-1 k-correction,Spectral
pflx_plaw_redchisq,No theoretical relationship,Statistical fitting parameters with no direct cosmological relationship,Goodness-of-fit statistics for spectral models,dimensionless,None,Statistical
pflx_plaw_redfitstat,No theoretical relationship,Statistical fitting parameters with no direct cosmological relationship,Goodness-of-fit statistics for spectral models,dimensionless,None,Statistical
pflx_plaw_statistic,No theoretical relationship,Statistical fitting parameters with no direct cosmological relationship,Goodness-of-fit statistics for spectral models,dimensionless,None,Statistical
pflx_sbpl_ampl,Cosmological dimming,"Spectral amplitude parameters scale with luminosity distance, following (1+z)^-2 dimming plus k-corrections","Amplitude represents flux normalization, subject to cosmological dimming",varies by spectral model,(1+z)^-2 plus k-corrections,Spectral
pflx_sbpl_ampl_neg_err,Cosmological dimming,"Spectral amplitude parameters scale with luminosity distance, following (1+z)^-2 dimming plus k-corrections","Amplitude represents flux normalization, subject to cosmological dimming",varies by spectral model,(1+z)^-2 plus k-corrections,Spectral
pflx_sbpl_ampl_pos_err,Cosmological dimming,"Spectral amplitude parameters scale with luminosity distance, following (1+z)^-2 dimming plus k-corrections","Amplitude represents flux normalization, subject to cosmological dimming",varies by spectral model,(1+z)^-2 plus k-corrections,Spectral
pflx_sbpl_brken,K-correction for energies,Break energies subject to k-correction; break scales may be model-dependent,Break parameters in broken power-law models,keV or dimensionless,"(1+z)^-1 for energies, model-dependent for scales",Spectral
pflx_sbpl_brken_neg_err,K-correction for energies,Break energies subject to k-correction; break scales may be model-dependent,Break parameters in broken power-law models,keV or dimensionless,"(1+z)^-1 for energies, model-dependent for scales",Spectral
pflx_sbpl_brken_pos_err,K-correction for energies,Break energies subject to k-correction; break scales may be model-dependent,Break parameters in broken power-law models,keV or dimensionless,"(1+z)^-1 for energies, model-dependent for scales",Spectral
pflx_sbpl_brksc,K-correction for energies,Break energies subject to k-correction; break scales may be model-dependent,Break parameters in broken power-law models,keV or dimensionless,"(1+z)^-1 for energies, model-dependent for scales",Spectral
pflx_sbpl_brksc_neg_err,K-correction for energies,Break energies subject to k-correction; break scales may be model-dependent,Break parameters in broken power-law models,keV or dimensionless,"(1+z)^-1 for energies, model-dependent for scales",Spectral
pflx_sbpl_brksc_pos_err,K-correction for energies,Break energies subject to k-correction; break scales may be model-dependent,Break parameters in broken power-law models,keV or dimensionless,"(1+z)^-1 for energies, model-dependent for scales",Spectral
pflx_sbpl_dof,No theoretical relationship,Statistical fitting parameters with no direct cosmological relationship,Goodness-of-fit statistics for spectral models,dimensionless,None,Statistical
pflx_sbpl_ergflnc,Cosmological scaling,Energy fluxes/fluences follow (1+z)^-2 dimming with additional (1+z)^-1 k-correction factor,Central to Amati and other luminosity correlations in cosmology,erg cm^-2 or erg cm^-2 s^-1,(1+z)^-2 plus k-corrections,Energetics
pflx_sbpl_ergflnc_error,Correlated with primary parameter,Energy flux/fluence errors scale with primary measurements following cosmological relations,Error propagation of cosmological dimming and k-corrections,erg cm^-2 or erg cm^-2 s^-1,(1+z)^-2 plus k-corrections,Energetics Error
pflx_sbpl_ergflncb,Cosmological scaling,Energy fluxes/fluences follow (1+z)^-2 dimming with additional (1+z)^-1 k-correction factor,Central to Amati and other luminosity correlations in cosmology,erg cm^-2 or erg cm^-2 s^-1,(1+z)^-2 plus k-corrections,Energetics
pflx_sbpl_ergflncb_error,Correlated with primary parameter,Energy flux/fluence errors scale with primary measurements following cosmological relations,Error propagation of cosmological dimming and k-corrections,erg cm^-2 or erg cm^-2 s^-1,(1+z)^-2 plus k-corrections,Energetics Error
pflx_sbpl_ergflux,Inverse square law with scatter,"Follows cosmological dimming: flux ? 1/(1+z)^2, with additional k-correction factor. Large intrinsic scatter observed",Research shows weak correlation due to large intrinsic scatter in GRB luminosities,erg cm^-2 s^-1 or ph cm^-2 s^-1,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational
pflx_sbpl_ergflux_error,Inverse square law with scatter,"Flux/fluence errors scale with the primary measurement, following inverse square dimming",Error propagation follows same cosmological dimming as primary parameter,Same as primary flux/fluence parameter,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational Error
pflx_sbpl_indx1,N/S - Insufficient research,Parameter not sufficiently studied in redshift-dependent context,N/S - Limited or no research available on redshift relationship,varies,N/S,Unclassified
pflx_sbpl_indx1_neg_err,N/S - Insufficient research,Parameter not sufficiently studied in redshift-dependent context,N/S - Limited or no research available on redshift relationship,varies,N/S,Unclassified
pflx_sbpl_indx1_pos_err,N/S - Insufficient research,Parameter not sufficiently studied in redshift-dependent context,N/S - Limited or no research available on redshift relationship,varies,N/S,Unclassified
pflx_sbpl_indx2,N/S - Insufficient research,Parameter not sufficiently studied in redshift-dependent context,N/S - Limited or no research available on redshift relationship,varies,N/S,Unclassified
pflx_sbpl_indx2_neg_err,N/S - Insufficient research,Parameter not sufficiently studied in redshift-dependent context,N/S - Limited or no research available on redshift relationship,varies,N/S,Unclassified
pflx_sbpl_indx2_pos_err,N/S - Insufficient research,Parameter not sufficiently studied in redshift-dependent context,N/S - Limited or no research available on redshift relationship,varies,N/S,Unclassified
pflx_sbpl_phtflnc,Cosmological scaling,Photon fluxes/fluences subject to (1+z)^-2 dimming and k-correction effects,Photon count rates affected by cosmological distance and spectral shifting,ph cm^-2 or ph cm^-2 s^-1,(1+z)^-2 plus k-corrections,Photon Count
pflx_sbpl_phtflnc_error,Correlated with primary parameter,Photon flux/fluence errors follow same cosmological scaling as primary measurements,Error propagation of cosmological effects on photon counts,ph cm^-2 or ph cm^-2 s^-1,(1+z)^-2 plus k-corrections,Photon Count Error
pflx_sbpl_phtflncb,Cosmological scaling,Photon fluxes/fluences subject to (1+z)^-2 dimming and k-correction effects,Photon count rates affected by cosmological distance and spectral shifting,ph cm^-2 or ph cm^-2 s^-1,(1+z)^-2 plus k-corrections,Photon Count
pflx_sbpl_phtflncb_error,Correlated with primary parameter,Photon flux/fluence errors follow same cosmological scaling as primary measurements,Error propagation of cosmological effects on photon counts,ph cm^-2 or ph cm^-2 s^-1,(1+z)^-2 plus k-corrections,Photon Count Error
pflx_sbpl_phtflux,Inverse square law with scatter,"Follows cosmological dimming: flux ? 1/(1+z)^2, with additional k-correction factor. Large intrinsic scatter observed",Research shows weak correlation due to large intrinsic scatter in GRB luminosities,erg cm^-2 s^-1 or ph cm^-2 s^-1,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational
pflx_sbpl_phtflux_error,Inverse square law with scatter,"Flux/fluence errors scale with the primary measurement, following inverse square dimming",Error propagation follows same cosmological dimming as primary parameter,Same as primary flux/fluence parameter,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational Error
pflx_sbpl_phtfluxb,Inverse square law with scatter,"Follows cosmological dimming: flux ? 1/(1+z)^2, with additional k-correction factor. Large intrinsic scatter observed",Research shows weak correlation due to large intrinsic scatter in GRB luminosities,erg cm^-2 s^-1 or ph cm^-2 s^-1,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational
pflx_sbpl_phtfluxb_error,Inverse square law with scatter,"Flux/fluence errors scale with the primary measurement, following inverse square dimming",Error propagation follows same cosmological dimming as primary parameter,Same as primary flux/fluence parameter,"(1+z)^-2 for flux, additional (1+z)^-1 k-correction",Observational Error
pflx_sbpl_pivot,Inverse redshift relationship,"Pivot energy subject to k-correction like other energy parameters: E_pivot,obs = E_pivot,rest/(1+z)","Reference energy used in spectral fitting, k-corrected",keV,(1+z)^-1 k-correction,Spectral
pflx_sbpl_pivot_neg_err,Inverse redshift relationship,"Pivot energy subject to k-correction like other energy parameters: E_pivot,obs = E_pivot,rest/(1+z)","Reference energy used in spectral fitting, k-corrected",keV,(1+z)^-1 k-correction,Spectral
pflx_sbpl_pivot_pos_err,Inverse redshift relationship,"Pivot energy subject to k-correction like other energy parameters: E_pivot,obs = E_pivot,rest/(1+z)","Reference energy used in spectral fitting, k-corrected",keV,(1+z)^-1 k-correction,Spectral
pflx_sbpl_redchisq,No theoretical relationship,Statistical fitting parameters with no direct cosmological relationship,Goodness-of-fit statistics for spectral models,dimensionless,None,Statistical
pflx_sbpl_redfitstat,No theoretical relationship,Statistical fitting parameters with no direct cosmological relationship,Goodness-of-fit statistics for spectral models,dimensionless,None,Statistical
pflx_sbpl_statistic,No theoretical relationship,Statistical fitting parameters with no direct cosmological relationship,Goodness-of-fit statistics for spectral models,dimensionless,None,Statistical
pflx_spectrum_start,No theoretical relationship,"Time parameters represent detector/analysis timing, not cosmological effects",Times are in detector/analysis reference frame,seconds or timestamp,None,Temporal/Technical
pflx_spectrum_stop,No theoretical relationship,"Time parameters represent detector/analysis timing, not cosmological effects",Times are in detector/analysis reference frame,seconds or timestamp,None,Temporal/Technical
scat_detector_mask,No theoretical relationship,Technical/instrumental parameters with no cosmological significance,Detector-specific or catalog classification parameters,varies,None,Technical/Instrumental
scatalog,No theoretical relationship,Technical/instrumental parameters with no cosmological significance,Detector-specific or catalog classification parameters,varies,None,Technical/Instrumental
t50,Weak positive correlation,Duration shows (1+z) time dilation effect but intrinsic scatter dominates. Some evidence of evolution with redshift,Research shows marginal redshift dependence; time dilation expected but observational scatter large,seconds,(1+z) time dilation,Temporal
t50_error,Weak positive correlation,Duration shows (1+z) time dilation effect but intrinsic scatter dominates. Some evidence of evolution with redshift,Research shows marginal redshift dependence; time dilation expected but observational scatter large,seconds,(1+z) time dilation,Temporal
t50_start,Weak positive correlation,Duration shows (1+z) time dilation effect but intrinsic scatter dominates. Some evidence of evolution with redshift,Research shows marginal redshift dependence; time dilation expected but observational scatter large,seconds,(1+z) time dilation,Temporal
trigger_name,No theoretical relationship,Identifier/name parameters have no physical relationship with redshift,Names and identifiers are arbitrary labels,N/A,None,Identifier
